ppt_index,stimulus_identity,rating,stim_age,age,height,upper_arm_circumference,upper_arm_circumference_sc,age_sc,stim_age_sc,height_sc
74,m(4).jpg,1,29,30,181.5,37.5,1.0926105490275302,-0.306310245913773,0.9140912720190304,0.20134303066079348
74,m(17).jpg,0,33,30,181.5,37.5,1.0926105490275302,-0.306310245913773,1.9586739197085725,0.20134303066079348
74,m(11).jpg,1,25,30,181.5,37.5,1.0926105490275302,-0.306310245913773,-0.1304913756705119,0.20134303066079348
74,m(9).jpg,1,30,30,181.5,37.5,1.0926105490275302,-0.306310245913773,1.175236933941416,0.20134303066079348
74,m(16).jpg,1,23,30,181.5,37.5,1.0926105490275302,-0.306310245913773,-0.652782699515283,0.20134303066079348
74,m(20).jpg,1,27,30,181.5,37.5,1.0926105490275302,-0.306310245913773,0.3917999481742592,0.20134303066079348
74,m(3).jpg,1,30,30,181.5,37.5,1.0926105490275302,-0.306310245913773,1.175236933941416,0.20134303066079348
74,m(1).jpg,0,20,30,181.5,37.5,1.0926105490275302,-0.306310245913773,-1.4362196852824396,0.20134303066079348
74,m(12).jpg,1,26,30,181.5,37.5,1.0926105490275302,-0.306310245913773,0.13065428625187367,0.20134303066079348
74,m(19).jpg,1,23,30,181.5,37.5,1.0926105490275302,-0.306310245913773,-0.652782699515283,0.20134303066079348
74,m(8).jpg,1,22,30,181.5,37.5,1.0926105490275302,-0.306310245913773,-0.9139283614376685,0.20134303066079348
74,m(7).jpg,1,19,30,181.5,37.5,1.0926105490275302,-0.306310245913773,-1.6973653472048253,0.20134303066079348
74,m(5).jpg,1,26,30,181.5,37.5,1.0926105490275302,-0.306310245913773,0.13065428625187367,0.20134303066079348
74,m(10).jpg,1,27,30,181.5,37.5,1.0926105490275302,-0.306310245913773,0.3917999481742592,0.20134303066079348
74,m(6).jpg,1,26,30,181.5,37.5,1.0926105490275302,-0.306310245913773,0.13065428625187367,0.20134303066079348
74,m(2).jpg,1,20,30,181.5,37.5,1.0926105490275302,-0.306310245913773,-1.4362196852824396,0.20134303066079348
74,m(13).jpg,1,23,30,181.5,37.5,1.0926105490275302,-0.306310245913773,-0.652782699515283,0.20134303066079348
75,m(15).jpg,1,24,37,183.5,27.25,-1.576571419900239,0.1564128652061038,-0.3916370375928975,0.4856441785570759
75,m(5).jpg,1,26,37,183.5,27.25,-1.576571419900239,0.1564128652061038,0.13065428625187367,0.4856441785570759
75,m(19).jpg,1,23,37,183.5,27.25,-1.576571419900239,0.1564128652061038,-0.652782699515283,0.4856441785570759
75,m(2).jpg,1,20,37,183.5,27.25,-1.576571419900239,0.1564128652061038,-1.4362196852824396,0.4856441785570759
75,m(16).jpg,1,23,37,183.5,27.25,-1.576571419900239,0.1564128652061038,-0.652782699515283,0.4856441785570759
75,m(11).jpg,1,25,37,183.5,27.25,-1.576571419900239,0.1564128652061038,-0.1304913756705119,0.4856441785570759
75,m(20).jpg,1,27,37,183.5,27.25,-1.576571419900239,0.1564128652061038,0.3917999481742592,0.4856441785570759
75,m(10).jpg,1,27,37,183.5,27.25,-1.576571419900239,0.1564128652061038,0.3917999481742592,0.4856441785570759
75,m(6).jpg,1,26,37,183.5,27.25,-1.576571419900239,0.1564128652061038,0.13065428625187367,0.4856441785570759
75,m(13).jpg,1,23,37,183.5,27.25,-1.576571419900239,0.1564128652061038,-0.652782699515283,0.4856441785570759
75,m(7).jpg,1,19,37,183.5,27.25,-1.576571419900239,0.1564128652061038,-1.6973653472048253,0.4856441785570759
75,m(4).jpg,1,29,37,183.5,27.25,-1.576571419900239,0.1564128652061038,0.9140912720190304,0.4856441785570759
75,m(9).jpg,1,30,37,183.5,27.25,-1.576571419900239,0.1564128652061038,1.175236933941416,0.4856441785570759
75,m(12).jpg,1,26,37,183.5,27.25,-1.576571419900239,0.1564128652061038,0.13065428625187367,0.4856441785570759
75,m(17).jpg,1,33,37,183.5,27.25,-1.576571419900239,0.1564128652061038,1.9586739197085725,0.4856441785570759
75,m(18).jpg,1,25,37,183.5,27.25,-1.576571419900239,0.1564128652061038,-0.1304913756705119,0.4856441785570759
75,m(14).jpg,1,32,37,183.5,27.25,-1.576571419900239,0.1564128652061038,1.697528257786187,0.4856441785570759
75,m(1).jpg,1,20,37,183.5,27.25,-1.576571419900239,0.1564128652061038,-1.4362196852824396,0.4856441785570759
75,m(8).jpg,1,22,37,183.5,27.25,-1.576571419900239,0.1564128652061038,-0.9139283614376685,0.4856441785570759
75,m(3).jpg,1,30,37,183.5,27.25,-1.576571419900239,0.1564128652061038,1.175236933941416,0.4856441785570759
76,m(6).jpg,1,26,34,180,32,-0.33963343429956544,-0.04189703955955768,0.13065428625187367,-0.011882830261418344
76,m(8).jpg,1,22,34,180,32,-0.33963343429956544,-0.04189703955955768,-0.9139283614376685,-0.011882830261418344
76,m(20).jpg,1,27,34,180,32,-0.33963343429956544,-0.04189703955955768,0.3917999481742592,-0.011882830261418344
76,m(2).jpg,1,20,34,180,32,-0.33963343429956544,-0.04189703955955768,-1.4362196852824396,-0.011882830261418344
76,m(1).jpg,1,20,34,180,32,-0.33963343429956544,-0.04189703955955768,-1.4362196852824396,-0.011882830261418344
76,m(9).jpg,1,30,34,180,32,-0.33963343429956544,-0.04189703955955768,1.175236933941416,-0.011882830261418344
76,m(7).jpg,1,19,34,180,32,-0.33963343429956544,-0.04189703955955768,-1.6973653472048253,-0.011882830261418344
76,m(12).jpg,1,26,34,180,32,-0.33963343429956544,-0.04189703955955768,0.13065428625187367,-0.011882830261418344
76,m(17).jpg,1,33,34,180,32,-0.33963343429956544,-0.04189703955955768,1.9586739197085725,-0.011882830261418344
76,m(13).jpg,1,23,34,180,32,-0.33963343429956544,-0.04189703955955768,-0.652782699515283,-0.011882830261418344
76,m(10).jpg,1,27,34,180,32,-0.33963343429956544,-0.04189703955955768,0.3917999481742592,-0.011882830261418344
76,m(18).jpg,1,25,34,180,32,-0.33963343429956544,-0.04189703955955768,-0.1304913756705119,-0.011882830261418344
76,m(4).jpg,1,29,34,180,32,-0.33963343429956544,-0.04189703955955768,0.9140912720190304,-0.011882830261418344
76,m(3).jpg,1,30,34,180,32,-0.33963343429956544,-0.04189703955955768,1.175236933941416,-0.011882830261418344
76,m(19).jpg,1,23,34,180,32,-0.33963343429956544,-0.04189703955955768,-0.652782699515283,-0.011882830261418344
76,m(14).jpg,1,32,34,180,32,-0.33963343429956544,-0.04189703955955768,1.697528257786187,-0.011882830261418344
76,m(5).jpg,1,26,34,180,32,-0.33963343429956544,-0.04189703955955768,0.13065428625187367,-0.011882830261418344
76,m(11).jpg,1,25,34,180,32,-0.33963343429956544,-0.04189703955955768,-0.1304913756705119,-0.011882830261418344
76,m(15).jpg,1,24,34,180,32,-0.33963343429956544,-0.04189703955955768,-0.3916370375928975,-0.011882830261418344
76,m(16).jpg,1,23,34,180,32,-0.33963343429956544,-0.04189703955955768,-0.652782699515283,-0.011882830261418344
77,m(6).jpg,1,26,20,194,30.5,-0.7302454297524097,-0.9673432617993113,0.13065428625187367,1.9782252050125586
77,m(7).jpg,1,19,20,194,30.5,-0.7302454297524097,-0.9673432617993113,-1.6973653472048253,1.9782252050125586
77,m(12).jpg,1,26,20,194,30.5,-0.7302454297524097,-0.9673432617993113,0.13065428625187367,1.9782252050125586
77,m(8).jpg,1,22,20,194,30.5,-0.7302454297524097,-0.9673432617993113,-0.9139283614376685,1.9782252050125586
77,m(9).jpg,0,30,20,194,30.5,-0.7302454297524097,-0.9673432617993113,1.175236933941416,1.9782252050125586
77,m(20).jpg,0,27,20,194,30.5,-0.7302454297524097,-0.9673432617993113,0.3917999481742592,1.9782252050125586
77,m(16).jpg,1,23,20,194,30.5,-0.7302454297524097,-0.9673432617993113,-0.652782699515283,1.9782252050125586
77,m(11).jpg,0,25,20,194,30.5,-0.7302454297524097,-0.9673432617993113,-0.1304913756705119,1.9782252050125586
77,m(5).jpg,1,26,20,194,30.5,-0.7302454297524097,-0.9673432617993113,0.13065428625187367,1.9782252050125586
77,m(13).jpg,1,23,20,194,30.5,-0.7302454297524097,-0.9673432617993113,-0.652782699515283,1.9782252050125586
77,m(4).jpg,1,29,20,194,30.5,-0.7302454297524097,-0.9673432617993113,0.9140912720190304,1.9782252050125586
77,m(14).jpg,1,32,20,194,30.5,-0.7302454297524097,-0.9673432617993113,1.697528257786187,1.9782252050125586
77,m(17).jpg,1,33,20,194,30.5,-0.7302454297524097,-0.9673432617993113,1.9586739197085725,1.9782252050125586
77,m(19).jpg,0,23,20,194,30.5,-0.7302454297524097,-0.9673432617993113,-0.652782699515283,1.9782252050125586
77,m(3).jpg,0,30,20,194,30.5,-0.7302454297524097,-0.9673432617993113,1.175236933941416,1.9782252050125586
77,m(15).jpg,1,24,20,194,30.5,-0.7302454297524097,-0.9673432617993113,-0.3916370375928975,1.9782252050125586
77,m(10).jpg,1,27,20,194,30.5,-0.7302454297524097,-0.9673432617993113,0.3917999481742592,1.9782252050125586
77,m(18).jpg,1,25,20,194,30.5,-0.7302454297524097,-0.9673432617993113,-0.1304913756705119,1.9782252050125586
77,m(1).jpg,0,20,20,194,30.5,-0.7302454297524097,-0.9673432617993113,-1.4362196852824396,1.9782252050125586
77,m(2).jpg,1,20,20,194,30.5,-0.7302454297524097,-0.9673432617993113,-1.4362196852824396,1.9782252050125586
78,m(8).jpg,1,22,24,171,31.4,-0.4958782324807035,-0.7029300554450959,-0.9139283614376685,-1.2912379957946893
78,m(6).jpg,1,26,24,171,31.4,-0.4958782324807035,-0.7029300554450959,0.13065428625187367,-1.2912379957946893
78,m(18).jpg,1,25,24,171,31.4,-0.4958782324807035,-0.7029300554450959,-0.1304913756705119,-1.2912379957946893
78,m(5).jpg,1,26,24,171,31.4,-0.4958782324807035,-0.7029300554450959,0.13065428625187367,-1.2912379957946893
78,m(1).jpg,1,20,24,171,31.4,-0.4958782324807035,-0.7029300554450959,-1.4362196852824396,-1.2912379957946893
78,m(11).jpg,1,25,24,171,31.4,-0.4958782324807035,-0.7029300554450959,-0.1304913756705119,-1.2912379957946893
78,m(3).jpg,1,30,24,171,31.4,-0.4958782324807035,-0.7029300554450959,1.175236933941416,-1.2912379957946893
78,m(15).jpg,1,24,24,171,31.4,-0.4958782324807035,-0.7029300554450959,-0.3916370375928975,-1.2912379957946893
78,m(13).jpg,1,23,24,171,31.4,-0.4958782324807035,-0.7029300554450959,-0.652782699515283,-1.2912379957946893
78,m(19).jpg,1,23,24,171,31.4,-0.4958782324807035,-0.7029300554450959,-0.652782699515283,-1.2912379957946893
78,m(12).jpg,1,26,24,171,31.4,-0.4958782324807035,-0.7029300554450959,0.13065428625187367,-1.2912379957946893
78,m(16).jpg,1,23,24,171,31.4,-0.4958782324807035,-0.7029300554450959,-0.652782699515283,-1.2912379957946893
78,m(9).jpg,1,30,24,171,31.4,-0.4958782324807035,-0.7029300554450959,1.175236933941416,-1.2912379957946893
78,m(10).jpg,1,27,24,171,31.4,-0.4958782324807035,-0.7029300554450959,0.3917999481742592,-1.2912379957946893
78,m(20).jpg,1,27,24,171,31.4,-0.4958782324807035,-0.7029300554450959,0.3917999481742592,-1.2912379957946893
78,m(7).jpg,1,19,24,171,31.4,-0.4958782324807035,-0.7029300554450959,-1.6973653472048253,-1.2912379957946893
78,m(17).jpg,1,33,24,171,31.4,-0.4958782324807035,-0.7029300554450959,1.9586739197085725,-1.2912379957946893
78,m(2).jpg,0,20,24,171,31.4,-0.4958782324807035,-0.7029300554450959,-1.4362196852824396,-1.2912379957946893
78,m(4).jpg,1,29,24,171,31.4,-0.4958782324807035,-0.7029300554450959,0.9140912720190304,-1.2912379957946893
78,m(14).jpg,1,32,24,171,31.4,-0.4958782324807035,-0.7029300554450959,1.697528257786187,-1.2912379957946893
79,m(2).jpg,1,20,27,179,35.5,0.5717945550904046,-0.5046201506794344,-1.4362196852824396,-0.15403340420955955
79,m(7).jpg,0,19,27,179,35.5,0.5717945550904046,-0.5046201506794344,-1.6973653472048253,-0.15403340420955955
79,m(9).jpg,1,30,27,179,35.5,0.5717945550904046,-0.5046201506794344,1.175236933941416,-0.15403340420955955
79,m(13).jpg,1,23,27,179,35.5,0.5717945550904046,-0.5046201506794344,-0.652782699515283,-0.15403340420955955
79,m(11).jpg,1,25,27,179,35.5,0.5717945550904046,-0.5046201506794344,-0.1304913756705119,-0.15403340420955955
79,m(6).jpg,1,26,27,179,35.5,0.5717945550904046,-0.5046201506794344,0.13065428625187367,-0.15403340420955955
79,m(16).jpg,1,23,27,179,35.5,0.5717945550904046,-0.5046201506794344,-0.652782699515283,-0.15403340420955955
79,m(3).jpg,1,30,27,179,35.5,0.5717945550904046,-0.5046201506794344,1.175236933941416,-0.15403340420955955
79,m(17).jpg,1,33,27,179,35.5,0.5717945550904046,-0.5046201506794344,1.9586739197085725,-0.15403340420955955
79,m(12).jpg,1,26,27,179,35.5,0.5717945550904046,-0.5046201506794344,0.13065428625187367,-0.15403340420955955
79,m(10).jpg,1,27,27,179,35.5,0.5717945550904046,-0.5046201506794344,0.3917999481742592,-0.15403340420955955
79,m(14).jpg,1,32,27,179,35.5,0.5717945550904046,-0.5046201506794344,1.697528257786187,-0.15403340420955955
79,m(15).jpg,1,24,27,179,35.5,0.5717945550904046,-0.5046201506794344,-0.3916370375928975,-0.15403340420955955
79,m(1).jpg,1,20,27,179,35.5,0.5717945550904046,-0.5046201506794344,-1.4362196852824396,-0.15403340420955955
79,m(18).jpg,1,25,27,179,35.5,0.5717945550904046,-0.5046201506794344,-0.1304913756705119,-0.15403340420955955
79,m(19).jpg,1,23,27,179,35.5,0.5717945550904046,-0.5046201506794344,-0.652782699515283,-0.15403340420955955
79,m(4).jpg,1,29,27,179,35.5,0.5717945550904046,-0.5046201506794344,0.9140912720190304,-0.15403340420955955
79,m(5).jpg,1,26,27,179,35.5,0.5717945550904046,-0.5046201506794344,0.13065428625187367,-0.15403340420955955
79,m(20).jpg,1,27,27,179,35.5,0.5717945550904046,-0.5046201506794344,0.3917999481742592,-0.15403340420955955
79,m(8).jpg,1,22,27,179,35.5,0.5717945550904046,-0.5046201506794344,-0.9139283614376685,-0.15403340420955955
80,m(5).jpg,1,26,21,179,33,-0.07922543733100258,-0.9012399602107575,0.13065428625187367,-0.15403340420955955
